Actor1Geo_CountryCode,MonthYear,NumMentions,goldstein * num_mentions,avgtone * num_mentions,avg_goldstein,avg_avgtone
SM,201705.0,685.0,2196.6,-1190.3685275695614,3.206715328467153,-1.7377642738241772
CG,201705.0,9148.0,313.19999999999936,-40532.87838345836,0.034236991692173084,-4.4307912531108835
LO,201705.0,7384.0,5509.0999999999985,-4642.657919668081,0.7460861321776813,-0.6287456554263382
GB,201705.0,1645.0,2466.7000000000003,-1165.9519207234657,1.4995136778115503,-0.7087853621419244
TI,201705.0,10145.0,15319.0,-12280.037473591234,1.5100049285362247,-1.2104521905954888
CT,201705.0,24716.0,-65774.9,-131872.8502189055,-2.6612275449101794,-5.335525579337495
AC,201705.0,3458.0,3911.5999999999995,-3186.6671412706596,1.1311740890688258,-0.9215347429932503
BK,201705.0,3345.0,-2252.7,-11039.230099356877,-0.6734529147982062,-3.300218265876495
ER,201705.0,5695.0,3039.4,-10921.534450635905,0.5336962247585602,-1.9177409044136795
PA,201705.0,3662.0,-263.5,-7622.448051956208,-0.07195521572910978,-2.08149864881382
CM,201705.0,18372.0,18875.0,-32924.97764496499,1.0273786196385803,-1.7921281104378939
LU,201705.0,10463.0,24847.800000000003,8860.525607946442,2.37482557583867,0.8468436975959516
EK,201705.0,3882.0,3481.0,-1160.966404723777,0.8967027305512623,-0.29906398885208063
RE,201705.0,1696.0,3090.1000000000004,1289.1216121602479,1.8219929245283022,0.7600952901888254
RI,201705.0,10011.0,13456.8,-8875.515279112327,1.344201378483668,-0.8865762939878461
RM,201705.0,2681.0,-1850.7000000000003,-3533.169812288177,-0.6903021260723612,-1.317855207865788
SI,201705.0,6861.0,10564.599999999999,3454.253741353335,1.5398046931934117,0.503462139827042
TK,201705.0,155.0,175.8,87.81401129352986,1.1341935483870969,0.566542008345354
KV,201705.0,6454.0,3447.5,-15589.58177814095,0.5341648590021691,-2.4154914437776496
KT,201705.0,202.0,272.4,-313.82270454323395,1.3485148514851484,-1.5535777452635344
PS,201705.0,797.0,1716.8999999999999,261.7849504541854,2.154203262233375,0.32846292403285493
MH,201705.0,446.0,865.6,976.8697567724028,1.9408071748878923,2.1902909344672707
NR,201705.0,1911.0,2005.7,-6108.4240123151685,1.0495552066980638,-3.1964542188985705
AA,201705.0,1259.0,1663.9,-70.05272491499295,1.321604447974583,-0.055641560694990426
BD,201705.0,9003.0,11158.700000000003,2577.927058901883,1.2394424080861939,0.2863408929136824
LT,201705.0,6304.0,7537.599999999999,-2161.142593947296,1.1956852791878172,-0.3428208429484924
WZ,201705.0,6354.0,6750.9,-4859.886082981164,1.0624645892351274,-0.7648545928519301
SC,201705.0,1212.0,1287.0,5.195683916031725,1.061881188118812,0.004286867917517925
MB,201705.0,602.0,953.0,-768.7796643394101,1.5830564784053156,-1.2770426317930401
VC,201705.0,2391.0,2641.6,-563.1720203425293,1.1048097030531159,-0.2355382770148596
FG,201705.0,438.0,1120.3,456.53901917822736,2.5577625570776257,1.042326527804172
CN,201705.0,1086.0,1519.6,-182.76379752793846,1.3992633517495394,-0.16829078962056948
NS,201705.0,1555.0,2383.1,-1732.0121876532198,1.532540192926045,-1.113834204278598
NC,201705.0,1112.0,1316.4,-277.3532391223415,1.1838129496402878,-0.24941838050570278
TO,201705.0,4468.0,8337.900000000001,2749.892610049866,1.866136974037601,0.6154638787040883
LS,201705.0,741.0,1512.8999999999999,203.7230468665982,2.0417004048582994,0.2749298878091744
GP,201705.0,356.0,1073.4,309.79021401711833,3.015168539325843,0.8701972303851638
AV,201705.0,1250.0,2193.4,2833.2028824415243,1.75472,2.2665623059532196
PU,201705.0,1414.0,2316.1,-877.5780325096741,1.637977369165488,-0.6206351007847766
TV,201705.0,453.0,558.5,396.34854178541894,1.2328918322295805,0.8749415933452956
SV,201705.0,708.0,952.7,-1078.726805057446,1.3456214689265538,-1.523625430872099
FO,201705.0,370.0,-206.10000000000002,-962.1019332491506,-0.5570270270270271,-2.6002754952679745
FK,201705.0,118.0,389.2,113.03468889582075,3.2983050847457624,0.957921092337464
NE,201705.0,573.0,1147.0000000000005,886.1744736273213,2.001745200698081,1.5465523099953251
YI,201705.0,217.0,-547.8,-646.6650714959221,-2.5244239631336405,-2.98002337094895
NT,201705.0,62.0,255.0,-0.4997760859830578,4.112903225806452,-0.008060904612629965
IO,201705.0,10.0,26.0,8.888162081889499,2.6,0.8888162081889499
SH,201705.0,24.0,-10.0,2.1282987989157203,-0.4166666666666667,0.08867911662148835
AN,201705.0,283.0,409.70000000000005,663.3158681274426,1.4477031802120144,2.3438723255386664
TL,201705.0,55.0,132.3,154.59532975186653,2.4054545454545457,2.8108241773066642
TP,201705.0,122.0,218.2,-74.12221855244204,1.7885245901639344,-0.6075591684626397
SB,201705.0,23.0,59.49999999999999,-114.01754269385668,2.58695652173913,-4.95728446495029
IM,201705.0,211.0,-75.99999999999999,-574.5955314835877,-0.3601895734597156,-2.723201571012264
PC,201705.0,187.0,310.79999999999995,-526.4293004132568,1.6620320855614972,-2.8151299487339934
PG,201705.0,205.0,157.2,-490.7933005954673,0.7668292682926828,-2.394113661441304
MF,201705.0,95.0,295.2,133.28230617532745,3.1073684210526316,1.4029716439508153
WQ,201705.0,76.0,6.1000000000000085,-241.14838520565124,0.08026315789473695,-3.173005068495411
NF,201705.0,28.0,119.6,-9.612226853606298,4.271428571428571,-0.3432938162002249
JN,201705.0,6.0,48.0,7.643312101910819,8.0,1.27388535031847
JQ,201705.0,2.0,-20.0,-14.38515081206496,-10.0,-7.19257540603248
PF,201705.0,46.0,-46.5,-156.28292848498282,-1.0108695652173914,-3.397454967064844
HQ,201705.0,1.0,4.0,-4.92424242424242,4.0,-4.92424242424242
DQ,201705.0,20.0,-184.0,-28.438886647841898,-9.2,-1.4219443323920948
AE,201706.0,92214.0,60121.999999999985,-103962.57416335787,0.6519834298479622,-1.1274055367228173
AF,201706.0,228445.0,-246593.70000000004,-993053.1637608993,-1.0794445052419621,-4.347012032484402
AJ,201706.0,44748.0,53459.299999999996,-46740.53292018132,1.1946746223294895,-1.0445278653835104
AS,201706.0,716889.0,429746.8999999999,-994258.7914534761,0.59946086493167,-1.3869075846518444
BA,201706.0,54791.0,-21916.8,-159997.07602631013,-0.40000730046905514,-2.9201342561061145
BD,201706.0,8415.0,7651.299999999999,-2059.5884678854145,0.9092453951277479,-0.24475204609452342
BE,201706.0,89747.0,51215.2,-171779.5216008663,0.5706619719879216,-1.9140419356732405
BO,201706.0,33301.0,60979.4,-14100.083381798013,1.8311582234767725,-0.42341321226984213
BR,201706.0,83103.0,18697.4,-193604.93909904265,0.22499067422355393,-2.3296985559972883
BU,201706.0,22261.0,24939.199999999997,-25314.587370263165,1.1203090606890973,-1.1371720664059641
BX,201706.0,9334.0,13028.600000000002,-1928.4966628673078,1.3958217270194988,-0.2066098846011686
CA,201706.0,584467.0,624405.7999999999,-528570.3861858262,1.0683337125962629,-0.904363096951284
CE,201706.0,71983.0,65657.8,-153327.67761599395,0.9121292527402304,-2.1300540074183343
CF,201706.0,18538.0,-10057.200000000003,-95865.72052187259,-0.5425180709893194,-5.171308691437727
CH,201706.0,656447.0,818943.0000000001,-624461.0965508217,1.2475386436376434,-0.9512742027167794
CI,201706.0,24591.0,22810.0,-33838.970783003664,0.9275751291122768,-1.3760713587492848
CM,201706.0,17055.0,-11329.900000000001,-69361.85817150254,-0.6643154500146585,-4.066951519877017
CO,201706.0,45982.0,67664.4,-114139.27195544369,1.4715410377973988,-2.482259839838278
CS,201706.0,11142.0,15668.5,-1584.9274886025187,1.4062556094058518,-0.14224802446621063
CU,201706.0,89513.0,126279.2,-104405.63602834468,1.4107358707673745,-1.16637400185833
CY,201706.0,28096.0,49395.200000000004,-4793.306632532472,1.7580865603644649,-0.1706045925588152
DA,201706.0,32785.0,46137.0,-24454.757737583375,1.4072594174165014,-0.74591300099385
DR,201706.0,7775.0,9183.5,-16512.073237080633,1.1811575562700964,-2.1237393230971873
EC,201706.0,8890.0,12952.9,-12002.713090732024,1.4570191226096738,-1.3501364556503965
ET,201706.0,39269.0,67828.9,-56278.34342430393,1.7272887010109754,-1.4331493907230621
FR,201706.0,397135.0,393807.30000000005,-538411.1035389167,0.9916207335037205,-1.3557382339479438
GG,201706.0,10629.0,5868.1,-21561.50677595198,0.5520839213472576,-2.02855459365434
GH,201706.0,151987.0,135930.7,-162952.20205302883,0.8943574121470916,-1.072145657543269
GM,201706.0,273389.0,273445.49999999994,-456687.47251524153,1.000206665227935,-1.6704676212841099
GT,201706.0,11144.0,4787.799999999999,-26650.253581041943,0.42963029432878674,-2.391444147616829
HU,201706.0,34350.0,40939.3,-68637.53793724345,1.1918282387190684,-1.9981815993375096
