,GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
11641,753872336,20180507.0,201805.0,1.9,2.0,1.0,2.0,0.4524886877828,13.0,122.0,RP,Philippines,3.8,0.9049773755656
11711,753881566,20180507.0,201805.0,7.0,1.0,1.0,1.0,-5.152224824355981,10.6677,122.95299999999999,RP,"Bacolod City, Bacolod, Philippines",7.0,-5.152224824355981
11889,753907789,20180508.0,201805.0,3.0,6.0,1.0,6.0,1.6750418760469,14.6481,121.113,RP,"Marikina City, Marikina, Philippines",18.0,10.0502512562814
11903,753909194,20180508.0,201805.0,3.4,8.0,1.0,8.0,-0.1953125,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",27.2,-1.5625
12106,753937833,20180508.0,201805.0,0.0,4.0,1.0,4.0,-1.7543859649122802,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",0.0,-7.017543859649121
12281,753963611,20180508.0,201805.0,-0.4,6.0,1.0,6.0,-3.4257748776509,7.073060000000001,125.613,RP,"Davao, Davao City, Philippines",-2.4000000000000004,-20.5546492659054
12293,753963937,20180508.0,201805.0,-9.5,5.0,1.0,5.0,-1.3651877133105799,16.45,120.55,RP,"Philippine, Benguet, Philippines",-47.5,-6.8259385665529
12357,753976251,20180508.0,201805.0,4.0,1.0,1.0,1.0,0.7272727272727301,16.45,120.55,RP,"Philippine, Benguet, Philippines",4.0,0.7272727272727301
12465,753991193,20180508.0,201805.0,-5.0,6.0,1.0,6.0,-7.76942355889724,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-30.0,-46.61654135338344
12532,754004446,20180508.0,201805.0,2.8,2.0,1.0,2.0,-3.83211678832117,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",5.6,-7.66423357664234
12562,754005242,20180508.0,201805.0,1.9,1.0,1.0,1.0,0.52356020942409,16.45,120.55,RP,"Philippine, Benguet, Philippines",1.9,0.52356020942409
12658,754025864,20180508.0,201805.0,3.4,2.0,1.0,2.0,1.8018018018018,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",6.8,3.6036036036036
12703,754033024,20180508.0,201805.0,1.9,4.0,1.0,4.0,-0.67226890756302,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",7.6,-2.68907563025208
12752,754044328,20180508.0,201805.0,3.4,10.0,1.0,10.0,3.2454361054766805,13.0,122.0,RP,Philippines,34.0,32.4543610547668
12909,754066548,20180508.0,201805.0,4.0,10.0,1.0,10.0,2.21774193548387,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",40.0,22.1774193548387
12950,754075362,20180508.0,201805.0,0.0,5.0,1.0,5.0,-3.1347962382445096,14.8926,120.715,RP,"Batasan, Pampanga, Philippines",0.0,-15.67398119122255
13203,754116096,20180508.0,201805.0,1.0,5.0,1.0,5.0,-4.72222222222222,14.5833,121.0,RP,"Metro Manila, Philippines (general), Philippines",5.0,-23.611111111111104
13296,754130474,20180508.0,201805.0,1.9,8.0,1.0,8.0,-1.50375939849624,13.7567,121.05799999999999,RP,"Batangas, Batangas City, Philippines",15.2,-12.03007518796992
13394,754141543,20180508.0,201805.0,-5.0,10.0,1.0,10.0,-5.68927789934355,13.0,122.0,RP,Philippines,-50.0,-56.892778993435506
13417,754144641,20180508.0,201805.0,-4.0,10.0,1.0,10.0,-2.8634361233480203,16.45,120.55,RP,"Philippine, Benguet, Philippines",-40.0,-28.634361233480202
13690,754184275,20180508.0,201805.0,3.4,8.0,1.0,8.0,-0.92838196286473,17.1292,121.834,RP,"Bagong, Isabela, Philippines",27.2,-7.42705570291784
13890,754215655,20180508.0,201805.0,3.0,2.0,1.0,2.0,-3.8509316770186297,7.073060000000001,125.613,RP,"Davao City, Davao City, Philippines",6.0,-7.701863354037259
14359,754276324,20180509.0,201805.0,7.4,8.0,1.0,4.0,-3.8664323374340896,6.066669999999999,121.06700000000001,RP,"Bangkal, Sulu, Philippines",59.2,-30.931458699472717
14467,754291029,20180509.0,201805.0,-4.0,10.0,1.0,10.0,-2.10035005834306,16.45,120.55,RP,"Philippine, Benguet, Philippines",-40.0,-21.003500583430604
14567,754305952,20180509.0,201805.0,7.4,4.0,1.0,4.0,3.83631713554987,7.223610000000001,124.24600000000001,RP,"Cotabato, Cotabato, Philippines",29.6,15.34526854219948
14640,754318093,20180509.0,201805.0,-2.0,3.0,1.0,3.0,-1.80995475113122,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",-6.0,-5.429864253393659
14682,754324033,20170509.0,201705.0,-2.0,12.0,2.0,12.0,-8.943089430894329,7.073060000000001,125.613,RP,"Davao, Davao City, Philippines",-24.0,-107.31707317073194
14722,754328720,20180509.0,201805.0,0.4,4.0,1.0,4.0,2.89855072463769,16.4,120.43299999999999,RP,"Bitag, La Union, Philippines",1.6,11.59420289855076
14869,754356859,20180509.0,201805.0,1.9,2.0,1.0,2.0,-1.63710777626194,14.4778,120.89299999999999,RP,"Cavite, Cavite City, Philippines",3.8,-3.27421555252388
